"","A1","A2","A6","P1","P2","P6"
"SteCoe_1",3386.99353575992,3785.64018419238,3324.78223033501,3844.00984366229,3654.03247253945,3858.88399570031
"SteCoe_10",2606.23571194184,2709.59048986383,2363.31280848411,2850.94190433716,2660.53216038487,2978.24207897758
"SteCoe_100",461.38523096302,519.44230970474,502.177679485745,585.216793709274,566.369903465644,529.986834052877
"SteCoe_1000",1933.71141893067,2097.8224114327,1898.10531073007,2425.56466951199,2370.47022231152,2560.76029321408
"SteCoe_10000",10.3794695423666,10.1894965716841,16.0176870466658,15.4705655268375,16.8670044160508,10.8193676524297
"SteCoe_10001",13.1508321974842,7.89985694782679,9.830441695352,10.1520879472267,14.0033883450808,12.9044247689918
"SteCoe_10002",35.2982715098348,57.0939654760844,36.8402084413031,67.5036160923623,45.3122220442127,73.7060432338931
"SteCoe_10003",20390.7790406437,21407.9972795983,21313.797693319,21619.3870937118,21146.3887909323,20186.259353232
"SteCoe_10004",165.529772244154,146.123681005091,148.173557533631,179.408543032071,192.419712372268,188.807082839359
"SteCoe_10005",9966.28789684754,10212.6883057126,9850.63317470959,10674.4157875185,10562.780992708,11393.2749733142
"SteCoe_10006",3313.70884714969,3485.31717251493,3222.99657652234,3731.57882604278,3599.18719162761,3647.30133989125
"SteCoe_10007",12521.8566353898,13661.5235901609,11913.1141614285,13671.5322245538,12728.741011582,13795.7509579506
"SteCoe_10009",45,62,17,45,68,34
"SteCoe_1001",251.842078252079,262.413579170581,219.155444123818,248.71726660532,241.279842371062,283.249712042576
"SteCoe_10011",3053.36239061586,3195.69201716694,2952.14293303691,3867.25593062495,3732.92237871011,4116.66030884723
"SteCoe_10012",0,0,0,0,0,0
"SteCoe_10013",0,0,0,0,0,0
"SteCoe_10014",0,0,0,0,0,0
"SteCoe_10015",0,0,0,0,0,0
"SteCoe_10016",66,32,0,45,58,0
"SteCoe_10017",7957.306406824,8370.80714844852,7761.54330241886,8729.03838534011,8280.96702408209,8416.53639265059
"SteCoe_10018",570.620936386166,532.177522743148,527.466053696527,572.957539598219,629.83097785398,580.867281827286
"SteCoe_10019",1645.41899985717,1819.25933191119,1582.76097997524,1871.40134662319,1618.89777886994,1826.64456383564
"SteCoe_1002",412.662568579735,416.013784915879,365.520117983108,419.660331994816,421.839535979456,438.713055675036
"SteCoe_10020",461.424891243526,471.007331766301,412.446601707715,492.36075047954,472.971469506651,536.593456249968
"SteCoe_10021",50657.4754561919,46321.1857446175,49159.3941107537,53740.1147019722,57487.2555634465,50372.9526485791
"SteCoe_10023",4.15019555977226,8.739133299844,6.08157424936892,7.12784607831912,2.20409186936528,6.9374918142018
"SteCoe_10024",279.188192954686,304.797922786485,366.185981361552,513.931959035677,448.850181979731,435.179055424899
"SteCoe_10025",161.848346560849,138.221761082741,153.647259819368,213.682694986202,230.337525271053,229.221161661537
"SteCoe_10026",189.830838627224,193.614097730444,216.850451013865,262.954280936602,252.913554348944,228.071001081519
"SteCoe_10028",332.447623988191,397.904416783618,299.853971041655,316.133253299538,280.209547368978,363.606526724595
