"","A1","A2","A6","P1","P2","P6"
"SteCoe_1",3400.35174418605,5586.44175684278,1281.55529953917,4041.5746031746,5449.31447124304,2050
"SteCoe_10",3295,3292,874,3617,3242,1814
"SteCoe_100",472,884,81,663,934,116
"SteCoe_1000",1792,3066,838,2470,3351,1799
"SteCoe_10000",9,20,7,16,28,0
"SteCoe_10001",20,9,1,16,17,5
"SteCoe_10002",31.6101454183506,75.2084959886929,9.86170125628336,76.9022984791039,63.0235322444496,62.5804000815741
"SteCoe_10003",21295.5987468942,27180.0561496967,14449.1257385653,23070.4364315273,26902.0252876797,12859.709377782
"SteCoe_10004",219,189,35,237,246,92
"SteCoe_10005",8913.85063288223,10585.6696462037,10113.4628669246,9856.07742449383,10946.4054535386,12461.3633136979
"SteCoe_10006",3849,4795,1156,4447,4913,1757
"SteCoe_10007",14234,18268,4865,15784,17272,7642
"SteCoe_10009",45,62,17,45,68,34
"SteCoe_1001",273,337,107,269,315,206
"SteCoe_10011",3157,4094,1552,4269,4660,3248
"SteCoe_10012",0,0,0,0,0,0
"SteCoe_10013",0,0,0,0,0,0
"SteCoe_10014",0,0,0,0,0,0
"SteCoe_10015",0,0,0,0,0,0
"SteCoe_10016",66,32,0,45,58,0
"SteCoe_10017",9481.73192440619,10840.9194207338,3338.38179150352,10623.7533058367,10748.1924085789,4250.21021611853
"SteCoe_10018",693,782,115,696,917,186
"SteCoe_10019",2137.43978826643,2135.90566893424,671.381443298969,2455.66910913999,1914.38596491228,1010.68421052632
"SteCoe_1002",507,603,57,516,609,172
"SteCoe_10020",544,564,198,584,566,390
"SteCoe_10021",69940,65620,6229,73990,81442,7753
"SteCoe_10023",2.06666666666667,10,8.10958904109589,6.03870967741936,1,9.18120805369128
"SteCoe_10024",370,339,171,725,497,258
"SteCoe_10025",193.724140263857,183.460896544651,46.2482474654799,262.78934881544,296,150
"SteCoe_10026",239,269,67,348,337,81
"SteCoe_10028",308,614,121,287,455,205
"SteCoe_10029",694,992,318,1017,852,504
"SteCoe_1003",92,170,34,138,174,112
"SteCoe_10031",0,1,0,0,0,0
"SteCoe_10032",0,0,0,0,0,0
"SteCoe_10033",0,0,0,0,0,0
"SteCoe_10034",2415,3130,937,2550,3020,1626
"SteCoe_10035",41,137,25,116,118,73
"SteCoe_10036",20,31,3,54,31,9
"SteCoe_10037",4620,6297,4085,5368,5578,5309
"SteCoe_1004",635,769,409,742,729,622
"SteCoe_10040",386.612698412698,530.854054054054,133.448275862069,505.611510791367,654.598047914818,161
"SteCoe_10041",1467,1905,1032,1498,1735.99207208988,1748
"SteCoe_10042",688,1051,462,882,1477,715
"SteCoe_10043",2302,2969,728,2350,2935,1154
"SteCoe_10045",70,64,19,86,108,43
"SteCoe_10046",90,88,27.9642857142857,132,113,113
"SteCoe_10047",371,446,73,619,619,167
"SteCoe_10048",1,0,0,0,3,0
"SteCoe_10049",237.144194756554,277.157584683358,60.7272727272727,287.346863468635,260.464285714286,36.25
"SteCoe_1005",0,0,0,0,0,0
"SteCoe_10050",4,10,2,15,14,0
"SteCoe_10051",256,344,138,402,420,85
"SteCoe_10052",5,21,4,15,13,7
"SteCoe_10053",0,0,0,0,0,0
"SteCoe_10054",0,0,0,0,0,0
"SteCoe_10056",2723,3050,544,2422,2957,759
"SteCoe_10058",2620,2632,485,3269,3092,906
"SteCoe_10059",2355.91706387035,2194.35276752768,661.384319754035,2988.25371066693,2278.82469512195,1056.03056768559
"SteCoe_1006",294.586301950181,262.844684805498,122,599.346965188022,539.41623641327,262.767773856241
"SteCoe_10060",17.9047619047619,9.30681818181818,6,25.6470588235294,22,1
"SteCoe_10061",137,179,84,175,136,63
"SteCoe_10062",1896.02604012169,2255.67776711972,492.458720956121,2288.52082612935,2815.56166202375,734
"SteCoe_10063",3587.66560407984,4424.97267871553,2492.7721011222,4249.12779327259,4375.81943455964,4431.75766415796
"SteCoe_10064",41,18,2,22,40,19
"SteCoe_10065",94,101,5,157,140,24
"SteCoe_10066",240,217,35,491,345,89
"SteCoe_10068",100,122,128,153,71,200
