gene,Cell_ID,Sample,log1TPM,treatment,Polarity,sample_mean_log1TPM,log1RPM,log1RPM_posterior,sample_mean_log1TPM_posterior,Skew,coeff,p_value,q_value,sig,domain
SteCoe_10500,con1,con1A,1.9991434530836103,con,A,2.0254266536700314,4.024570106753641,3.8855219334698905,2.0293517934182708,0.01757857842572226,0.5863645867635718,0.04261157841971961,0.14692748008469417,True,Dymeclin domain protein
SteCoe_10508,con1,con1A,1.04085421922371,con,A,2.0254266536700314,3.066280872893741,2.5669098489797317,2.0293517934182708,0.08864798807094709,0.2726745866576724,0.008735945386087254,0.1363726919836761,True,hypothetical protein
SteCoe_10575,con1,con1A,1.07302882630224,con,A,2.0254266536700314,3.098455479972271,3.2929698528831706,2.0293517934182708,-0.030433645514246797,0.1390058210278712,0.045381297139059126,0.14692748008469417,True,zf-C2HC_2 domain protein
SteCoe_10707,con1,con1A,1.0713139031643,con,A,2.0254266536700314,3.096740556834331,3.089565552499901,2.0293517934182708,0.0011598204498164532,0.9773539407876162,0.01932019541297779,0.13816979920631034,True,Asp domain protein
SteCoe_10949,con1,con1A,2.51592446963161,con,A,2.0254266536700314,4.5413511233016415,4.3469164592868506,2.0293517934182708,0.021875428727604368,0.6375981107595434,0.022368026872989614,0.13816979920631034,True,MIF4G domain protein
SteCoe_11196,con1,con1A,1.7472567332913402,con,A,2.0254266536700314,3.7726833869613716,3.854241907453071,2.0293517934182708,-0.010693499325531413,0.3025518901329361,0.0011882355176877151,0.08017277815676771,True,Chitin_synth_1 domain protein
SteCoe_11290,con1,con1A,0.7029425720331719,con,A,2.0254266536700314,2.7283692257032035,3.087918465615391,2.0293517934182708,-0.06181765053486805,0.18715506183697958,0.010786181120512817,0.13816979920631034,True,NIF domain protein
SteCoe_11377,con1,con1A,3.00882922291326,con,A,2.0254266536700314,5.034255876583291,4.512787084782801,2.0293517934182708,0.05462097467359393,0.19096428493540138,0.02066315280042019,0.13816979920631034,True,STT3 domain protein
SteCoe_11408,con1,con1A,3.70097149406406,con,A,2.0254266536700314,5.726398147734091,5.413877381713821,2.0293517934182708,0.028053234876835968,0.23741322925219885,0.01761505274722103,0.13816979920631034,True,V-ATPase_H_N domain protein
SteCoe_1153,con1,con1A,1.57048611169731,con,A,2.0254266536700314,3.5959127653673413,3.266949973009291,2.0293517934182708,0.047933756640434366,0.5780101206999483,0.01074867939403974,0.13816979920631034,True,HSF_DNA-bind domain protein
