Protein,Whole Cell,Cell bodies,MB,Anterior,Posterior,total,upper_plus_lower,binomial_antpos,MB+body,binomial_MB_body,Whole Cell normalized,Cell bodies normalized,MB normalized,Anterior normalized,Posterior normalized,MB RA vs whole cells,Cell bodies RA vs whole cells,Posterior RA vs whole cells,Anterior RA vs whole cells,MB RA vs cell bodies,prot.cluster,RNAseq,Manual Annotation,Description from StentorDB,SpAntClusterByTime,SpAntClusterAssignment,SpPostClusterByTime,SpPostClusterAssignment,Biological Function,Oxytricha Homolog Annotation,Oxytricha Homolog url
SteCoe_11814,0,6,6,10,3,25,13,0.954531681,12,0.524790735,0,7.1,6,7,3,60,71,30,70,0.833333333,2,,,Cys_Met_Meta_PP domain protein,,,,,,Cys/Met metabolism PLP-dependent enzyme,http://oxy.ciliate.org/index.php/feature/details/Contig18751.0.g49
SteCoe_29652,2,4,3,5,1,15,6,0.960530266,7,0.430881926,5.9,4.8,3,3.5,1,0.5,0.8,0.166666667,0.583333333,0.612244898,3,bisection 1,,hypothetical protein,,,300,4,,Inositol-pentakisphosphate 2-kinase,
SteCoe_3761,1,3,2,5,1,12,6,0.960530266,5,0.440676502,2.9,3.6,2,3.5,1,0.666666667,1.2,0.333333333,1.166666667,0.540540541,3,,,Tubulin domain protein,,,,,cytoskeleton,Tubulin/FtsZ family; GTPase domain,http://oxy.ciliate.org/index.php/feature/details/Contig21024.0.g66
SteCoe_25370,1,2,1,5,1,10,6,0.960530266,3,0.452477499,2.9,2.4,1,3.5,1,0.333333333,0.8,0.333333333,1.166666667,0.4,3,,,tRNA-synt_2c domain protein,,,,,alanyl-tRNA aminoacylation,tRNA synthetases class II (A),http://oxy.ciliate.org/index.php/feature/details/Contig17366.0.g58
SteCoe_17221,2,1,1,5,1,10,6,0.960530266,2,0.717269335,5.9,1.2,1,3.5,1,0.166666667,0.2,0.166666667,0.583333333,0.769230769,3,sucrose 1,,Actin domain protein,,,,,actin,Actin,http://oxy.ciliate.org/index.php/feature/details/Contig4562.0.g74
SteCoe_12305,0,1,1,5,1,8,6,0.960530266,2,0.717269335,0,1.2,1,3.5,1,10,12,10,35,0.769230769,NA,,,Ribosomal_60s domain protein,,,,,translation,,
SteCoe_2253,0,2,0,5,1,8,6,0.960530266,2,0.219282189,0,2.4,0,3.5,1,0,24,10,35,0,NA,,,Aminotran_5 domain protein,,,,,,,
SteCoe_31813,0,2,0,5,1,8,6,0.960530266,2,0.219282189,0,2.4,0,3.5,1,0,24,10,35,0,NA,,,TGS domain protein,,,,,tRNA aminoacylation,tRNA synthetase class II core domain (G; H; P; S and T),http://oxy.ciliate.org/index.php/feature/details/Contig22136.0.g26
SteCoe_1285,0,0,1,5,1,7,6,0.960530266,1,1,0,0,1,3.5,1,10,0,10,35,10,NA,sucrose 1,,GST_N_3 domain protein,,,,,,Glutathione S-transferase; C-terminal domain,http://oxy.ciliate.org/index.php/feature/details/Contig3600.0.g61
SteCoe_6008,0,1,0,5,1,7,6,0.960530266,1,0.468275762,0,1.2,0,3.5,1,0,12,10,35,0,NA,,,TBCC domain protein,,,,,intracellular protein transport,Tubulin binding cofactor C,http://oxy.ciliate.org/index.php/feature/details/Contig19147.0.g91
