gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,-log10(padj),domain
SteCoe_1,3628.7170709145853,0.15055963555754764,0.0580700605287825,2.5927239301381917,0.009521917046821614,0.059193891300677946,anterior,1.2277231093462266,Gp_dh_N domain protein
SteCoe_10003,21020.489461029123,0.26784405870007844,0.047769673291509857,5.606989544717748,2.0587609228168537e-08,4.070627846836213e-06,anterior,5.390338600753342,Ribosomal_L2 domain protein
SteCoe_10005,10405.7231894319,0.14505609178587198,0.04619950152579257,3.139776123014857,0.0016907699147750142,0.017086938362567746,anterior,1.767335747189084,Ribosomal_L21e domain protein
SteCoe_10006,3485.9504551566683,0.13290924766579998,0.05286687034665566,2.5140366129921246,0.011935804187085076,0.06918213362215908,anterior,1.1600060481898098,Acyl-CoA_dh_N domain protein
SteCoe_10007,13014.359519085614,0.1869778297242978,0.0533342168019208,3.505776234021007,0.00045527780037577734,0.00659118789777922,anterior,2.1810363075670005,tRNA-synt_His domain protein
SteCoe_10017,8233.42128884099,0.1865004703975899,0.04641301828363088,4.018279295215877,5.86246844681829e-05,0.0014661947642922305,anterior,2.833808335670918,ATP-synt_ab_N domain protein
SteCoe_10019,1722.4772498931627,0.1896100327353299,0.07474448127260788,2.5367763546820887,0.011187840103162486,0.066105461417524,anterior,1.1797626590391173,Metallophos domain protein
SteCoe_10024,384.58062835403035,-0.2924387688849538,0.13599259013416032,-2.1504022285071205,0.03152341222793658,0.13338745481682865,posterior,0.8748850141977768,hypothetical protein
SteCoe_10028,332.38025943270105,0.36594109961557514,0.14505607260476935,2.5227561524614397,0.011643911243517066,0.06808435944525286,anterior,1.16695264413377,hypothetical protein
SteCoe_10034,2275.1735292939215,0.17077383933356638,0.06842331780594336,2.495842715752271,0.012565830468721792,0.07174618818959497,anterior,1.1442011676559969,Sod_Fe_N domain protein
SteCoe_10037,5182.002339962745,0.1944043341114621,0.06454173760888536,3.012071588303485,0.0025947139853045066,0.02312500936652439,anterior,1.6359180826828095,Ribosomal_L13 domain protein
SteCoe_10043,2075.5127803759756,0.20054642974235515,0.06490004838267942,3.0900813595676326,0.002001016738710975,0.01918711784393092,anterior,1.7169902570771012,Peptidase_M20 domain protein
SteCoe_10047,376.40568584580427,-0.23483709085147664,0.12372587416165005,-1.8980434969055688,0.05769035237394997,0.19745468578190858,posterior,0.7045325555963163,Akt family kinase
SteCoe_10056,2092.343163637072,0.2953808851268463,0.07060234683649948,4.183726155886683,2.8676952652359767e-05,0.0008583183952335914,anterior,3.0663515797005987,hypothetical protein
SteCoe_1006,335.27241193015954,-0.5269363828891984,0.14953897939542068,-3.5237393288330456,0.00042550263118001116,0.006270657823476852,posterior,2.202686897108609,hypothetical protein
SteCoe_10066,230.48423348266797,-0.4091230746440099,0.17128572167114964,-2.3885416172019447,0.016915392390683043,0.08788595842108168,posterior,1.0560805068075703,NEK family kinase
SteCoe_10087,723.2711542105848,-0.2862817750099791,0.09429015984138522,-3.0361787008481254,0.0023959731526316183,0.021892858665509447,posterior,1.659697526618543,hypothetical protein
SteCoe_10099,3836.3252876182937,0.1689678737170004,0.05414439956068037,3.1206897682489907,0.001804280034158172,0.01775511329466065,anterior,1.7506765521379801,WD40 domain protein
SteCoe_1010,6576.493988157221,0.1387077330290796,0.051470225017530985,2.6949121163125893,0.007040719856871132,0.04763863492510335,anterior,1.3220406916264733,NLE domain protein
SteCoe_10104,12820.412263025935,0.26539348407539737,0.0660733338163605,4.016650420773576,5.903119026392615e-05,0.0014701795426650937,anterior,2.832629624689041,Ribosomal_L32e domain protein
SteCoe_10106,271.08258129464684,-0.5178913275241513,0.1921969010531142,-2.6945872940013245,0.007047586318909241,0.047669989944247045,posterior,1.321754939685261,predicted pseudokinase related to AGC kinases
SteCoe_10108,514.9994329187444,0.2161702926857284,0.11347665414743847,1.9049759116519391,0.056783202400832816,0.19560388837996193,anterior,0.7086225161886209,hypothetical protein
SteCoe_10110,1149.6861382607929,-0.36735563737620525,0.07534419864536428,-4.87569904492982,1.0842380539178824e-06,8.05834539827809e-05,posterior,4.093754121738976,NIF domain protein
SteCoe_10119,14934.523188360801,0.1028658676688488,0.04281692420193199,2.4024581304279504,0.01628529872958465,0.08567978613341187,anterior,1.0671216262237615,hypothetical protein
SteCoe_10120,1197.92098071415,0.16322596935685332,0.07765008969442828,2.1020705835522744,0.0355470932615335,0.1439546044958821,anterior,0.8417744393293369,WD40 domain protein
SteCoe_10124,7442.288866715874,0.23270093495079625,0.05406360383355881,4.304206868398814,1.6758501819154736e-05,0.0005822643742253211,anterior,3.234879781333973,Kri1 domain protein
SteCoe_10126,1753.672146881065,0.2931631484561883,0.07051465197849002,4.157478484693019,3.21779569811876e-05,0.0009285514775355135,anterior,3.0321940146060524,SHMT domain protein
SteCoe_10127,1075.7019966785576,0.22043504132497233,0.07918711394653792,2.7837236431396652,0.005373880025996336,0.039434948396156216,anterior,1.4041187231473071,TLD domain protein
SteCoe_10139,885.3176421677072,0.43632916077871214,0.09881247114548784,4.415729671776726,1.006698286492702e-05,0.00040714081836676445,anterior,3.3902553547495944,Aminotran_4 domain protein
SteCoe_10141,860.2005318582611,-0.19833212497401792,0.08851807717459495,-2.2405832944475668,0.02505307981647175,0.11411763361794747,posterior,0.942647242599634,PA domain protein
SteCoe_10154,6100.187597161581,0.25170663357961587,0.05819136759294452,4.325497818513794,1.5218777493459624e-05,0.0005389415830768438,anterior,3.268458306283181,Ribosomal_L18A domain protein
