,gene,Cell_ID,Sample,log1TPM,treatment,Polarity,sample_mean_log1TPM,log1RPM,log1RPM_posterior,sample_mean_log1TPM_posterior,Skew,coeff,p_value,q_value,sig,domain_x,color,domain_y,polarity
172586,SteCoe_10119,G0410,G0410A,5.74647456825003,G04,A,1.5642648991135109,7.3107394673635415,7.22786145748294,1.5586255754060196,0.005700549200643003,1.9845376309741805,0.05085549958484014,0.07996147733465431,True,hypothetical protein,anterior,hypothetical protein,anterior
172772,SteCoe_1032,G0410,G0410A,2.53889677245781,G04,A,1.5642648991135109,4.103161671571321,4.27343136681783,1.5586255754060196,-0.02032684343935277,1.6040865670497493,0.032525655841990034,0.07416012113383295,True,zf-RING_2 domain protein,posterior,zf-RING_2 domain protein,posterior
172897,SteCoe_10449,G0410,G0410A,2.2044885430764,G04,A,1.5642648991135109,3.7687534421899107,3.3730647910026796,1.5586255754060196,0.05540446959966206,0.6461186103626183,0.05357438054034043,0.0827070158492094,True,hypothetical protein,,,anterior
173035,SteCoe_10580,G0410,G0410A,0.640843314653794,G04,A,1.5642648991135109,2.205108213767305,2.137723476383247,1.5586255754060196,0.015516313362289643,1.3043016867636352,0.03833088473717973,0.07569933960452073,True,hypothetical protein,,,anterior
173039,SteCoe_10584,G0410,G0410A,0.950097613129291,G04,A,1.5642648991135109,2.5143625122428017,2.5133454362472327,1.5586255754060196,0.0002022941678373446,1.1858711027746618,0.008370857456545408,0.07416012113383295,True,DNA_ligase_A_M domain protein,,,anterior
173212,SteCoe_10762,G0410,G0410A,1.8378411531794099,G04,A,1.5642648991135109,3.402106052292921,3.2557390253144796,1.5586255754060196,0.021984144309804315,1.5572116084368768,0.02372895687326667,0.07416012113383295,True,hypothetical protein,anterior,hypothetical protein,anterior
173250,SteCoe_1080,G0410,G0410A,1.70001402595179,G04,A,1.5642648991135109,3.264278925065301,3.37224659943396,1.5586255754060196,-0.016268704756741734,1.9717920999864684,0.03392066354249769,0.07416012113383295,True,hypothetical protein,,,posterior
173334,SteCoe_10882,G0410,G0410A,0.48321058328384603,G04,A,1.5642648991135109,2.047475482397357,1.9432956397936176,1.5586255754060196,0.026105191055543084,1.484130338403395,0.027951562750777727,0.07416012113383295,True,ABC_membrane domain protein,,,anterior
173416,SteCoe_1096,G0410,G0410A,4.34635140356763,G04,A,1.5642648991135109,5.910616302681142,5.8607286321527,1.5586255754060196,0.0042380603749715764,1.7144694148849564,0.048741511743462355,0.07941288883702478,True,Fer2_4 domain protein,anterior,Fer2_4 domain protein,anterior
173449,SteCoe_10990,G0410,G0410A,1.29084116062277,G04,A,1.5642648991135109,2.855106059736281,2.5398620222122337,1.5586255754060196,0.0584329754570466,0.31818096928931405,0.01709578404502591,0.07416012113383295,True,hypothetical protein,,,anterior
173474,SteCoe_11013,G0410,G0410A,1.84004175141552,G04,A,1.5642648991135109,3.4043066505290307,3.3885541735801397,1.5586255754060196,0.0023189753708750317,1.4270411277368118,0.035393323085599906,0.07484062918392931,True,hypothetical protein,posterior,hypothetical protein,anterior
